ID_Station,Phase,Type_Filtre,ID_Filtre,Date,Mois,Temperature_C,pH,Conductivite_uS_cm,Potentiel_Redox_mV,DBO5_mg_L,DCO_mg_L,MES_mg_L,MVS_pct,Nitrates_mg_L,Ammonium_mg_L,Azote_Total_mg_L,Phosphates_mg_L,Coliformes_Fecaux_CFU_100ml,Oeufs_Helminthes,Huiles_Graisses,Nom_Feuille,Contient_Valeurs_Estimees
Sanar_Station,Sortie,Filtre_Horizontal,FH,,,,8.17,,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFHb,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,,,,7.68,,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFHb,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,,,,0.2628687885618984,,21.548395145192035,,,,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,,,,0.032940950947606316,,0.13696013863469514,,,,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,29.3,6.0,1267.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,7.821666666666666,,-91.4,106.375,247.0,70.5,47.7,11.2975,21.25,242.5,45.75,2752500.0,,57.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.13,,10.0,214.5,270.0,98.0,47.7,18.07,23.0,700.0,86.0,3670000.0,0.0,57.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,7.53,,-209.0,64.7,234.0,50.0,47.7,4.52,20.0,60.0,11.0,1000000.0,0.0,57.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.23387318500988247,,95.8399707846366,72.23080483191825,16.30950643030009,22.27853974867593,,5.531765089010922,1.2583057392117916,305.9820256158848,30.88014464560251,1259851.181687742,,,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.02990068421178979,,-1.0485773608822384,0.6790204919569283,0.06603039040607324,0.31600765600958763,,0.4896450620943503,0.05921438772761372,1.2617815489314839,0.6749758392481423,0.457711600976473,,,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,6.0,,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.290000000000001,,-127.8,115.3125,263.0,66.25,34.0,14.68,34.5,217.5,52.725,5740000.0,,157.5,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.38,,-12.0,205.25,280.0,79.0,34.0,29.37,39.0,400.0,80.0,13300000.0,0.0,157.5,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.15,,-200.0,73.2,240.0,58.0,34.0,4.51,30.0,80.0,23.1,2330000.0,0.0,157.5,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.0814861951498535,,73.79159843776256,60.57984228822874,17.397317800933184,9.287087810503355,,10.836496973961037,4.654746681256314,143.3817747600208,27.052710893118757,5194785.847366569,,,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.009829456592262182,,-0.5773990488087837,0.5253536458599782,0.06614949734195127,0.14018245751703176,,0.7381809927766374,0.1349201936596033,0.6592265506207853,0.5130907708509959,0.905014955987207,,,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,6.0,,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.133333333333335,,-69.8,70.1,204.0,44.75,18.3,15.2475,54.0,125.0,42.3,1917500.0,,50.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,8.23,,44.0,120.0,215.0,55.0,18.3,33.88,60.0,200.0,80.0,2670000.0,0.0,50.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,7.98,,-185.0,39.4,184.0,28.0,18.3,2.26,48.0,70.0,16.1,1000000.0,0.0,50.0,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.08936815241833439,,85.53478824431612,34.740658216754255,13.73559851869101,12.338962679253067,,14.089124351782832,6.377042156569663,54.4671154612273,28.238626028898782,688397.8985054113,,,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,,,,0.010987887592418161,,-1.2254267656778814,0.4955871357596898,0.06733136528770103,0.2757310095922473,,0.9240284867540798,0.11809337326980858,0.4357369236898184,0.6675798115578909,0.35900803051129665,,,SFV1c,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,26.8,7.0,1224.0,6.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,5.748571428571429,,171.66666666666666,1.3,110.5,11.25,37.3,7.6225000000000005,5.2,76.5,10.15,11660.0,,239.5,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,6.51,,278.0,2.2,145.0,18.0,37.3,11.75,5.9,98.0,12.5,33300.0,0.0,239.5,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,5.14,,24.0,0.3,89.0,6.0,37.3,2.03,4.7,50.0,7.5,0.0,0.0,239.5,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,0.47635520960128663,,84.68451255493338,0.953939201416946,24.186773244895647,5.737304826019502,,4.205451818770488,0.5099019513592785,21.1266025033211,2.5696951829610675,14765.335530672282,,,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,0.08286497184913037,,0.4933078401258255,0.7337993857053431,0.21888482574566195,0.5099826512017335,,0.5517155551027206,0.09805806756909202,0.27616473860550456,0.2531719392079869,1.2663238019444496,,,SFV2a,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,6.0,,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,5.8116666666666665,,176.0,2.375,90.75,15.25,44.1,10.9575,2.1,62.0,12.5,4165.0,,138.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,6.25,,253.0,4.8,136.0,20.0,44.1,14.0,2.2,73.0,14.0,6670.0,0.0,138.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,5.19,,103.0,0.8,57.0,11.0,44.1,9.5,2.0,30.0,10.9,3330.0,0.0,138.0,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,0.4124277714541863,,56.73182528352142,1.8409689477736082,33.42030321027424,4.425306015783918,,2.0857672449245217,0.11547005383792526,21.33854103103896,1.4071247279470287,1670.0,,,SFV2b,False
Sanar_Station,Sortie,Filtre_Vertical,FV2,,,,0.07096548978276794,,0.3223399163836444,0.7751448201152035,0.3682678039699641,0.290184001035011,,0.1903506497763652,0.05498573992282155,0.3441700166296607,0.1125699782357623,0.4009603841536615,,,SFV2b,False
