id_station,phase,type_filtre,id_filtre,ph,potentiel_redox_mv,dbo5_mg_l,dco_mg_l,mes_mg_l,nitrates_mg_l,ammonium_mg_l,azote_total_mg_l,phosphates_mg_l,coliformes_fecaux_cfu_100ml,nom_feuille,contient_valeurs_estimees
Sanar_Station,Entree,Non_Applicable,FV2,0.0,0.0,64.7,230.33333333333331,46.333333333333336,6.78,36.333333333333336,90.0,16.733333333333334,2666666.6666666665,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,0.0,,54.831145473069306,9.342753182924024,13.306918278627588,27.909659468841006,202.84008936068795,73.56025496904635,147.43401286049345,1132012.301987859,Entréé FV2,False
Sanar_Station,Entree,Non_Applicable,FV2,,,0.5597156613302979,0.0387800201297434,0.2199490624566543,1.0474960548778407,1.4584068737736702,0.4645910840150296,1.2327258600375706,0.3246689202642043,Entréé FV2,True
Sanar_Station,Entree,Non_Applicable,General,8.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Entree 1,False
Sanar_Station,Entree,Non_Applicable,General,7.7325,-220.28571428571428,673.0,1515.0,400.0,25.9775,21.425,432.5,38.2,54075000.0,Entree 1,False
Sanar_Station,Entree,Non_Applicable,General,8.02,-201.0,738.0,2500.0,778.0,47.44,23.3,1200.0,43.0,123000000.0,Entree 1,False
Sanar_Station,Entree,Non_Applicable,General,7.33,-250.0,575.0,810.0,222.0,15.81,20.0,100.0,25.8,23300000.0,Entree 1,False
Sanar_Station,Entree,Non_Applicable,General,0.2552169945080347,15.467323467170887,86.36550237218562,709.5773389842717,255.69252368160213,14.466115292872049,1.4103781998693357,519.1900743786742,8.280096617793767,46459543.33252391,Entree 1,False
Sanar_Station,Entree,Non_Applicable,General,0.0330057542202437,-0.0702148276719819,0.1283291268531732,0.4683678805176711,0.6392313092040053,0.556870957285037,0.0658286207640296,1.2004394783321948,0.2167564559631876,0.8591686238099658,Entree 1,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.992500000000001,125.0,3.45,93.5,27.0,9.09,2.9250000000000003,60.75,6.6,0.0,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.28,211.0,7.0,131.0,64.0,11.97,3.2,75.0,19.0,0.0,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.67,30.0,0.3,75.0,7.0,6.32,2.6,40.0,1.5,0.0,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,0.2348099535490654,56.94149043828528,2.7477263328068173,25.37058664411737,25.285041691350507,2.422904592976506,0.25,15.56438241627338,8.331066358316123,0.0,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,0.029378786806264,0.4555319235062822,0.7964424153063239,0.2713431726643569,0.9364830256055744,0.2665461598434,0.0854700854700854,0.2562038257822778,1.262282781563049,,SFHa,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFHb,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.979999999999999,157.33333333333334,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,8.17,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFHb,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,7.68,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SFHb,False
Sanar_Station,Sortie,Filtre_Horizontal,FH,0.2628687885618984,21.548395145192035,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Horizontal,FH,0.0329409509476063,0.1369601386346951,,,,,,,,,SFHb,True
Sanar_Station,Sortie,Filtre_Vertical,FV1,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,7.821666666666666,-91.4,106.375,247.0,70.5,11.2975,21.25,242.5,45.75,2752500.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.13,10.0,214.5,270.0,98.0,18.07,23.0,700.0,86.0,3670000.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,7.53,-209.0,64.7,234.0,50.0,4.52,20.0,60.0,11.0,1000000.0,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.2338731850098824,95.8399707846366,72.23080483191825,16.30950643030009,22.27853974867593,5.531765089010922,1.2583057392117916,305.9820256158848,30.88014464560251,1259851.181687742,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.0299006842117897,-1.0485773608822384,0.6790204919569283,0.0660303904060732,0.3160076560095876,0.4896450620943503,0.0592143877276137,1.261781548931484,0.6749758392481423,0.457711600976473,SFV1a,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.290000000000001,-127.8,115.3125,263.0,66.25,14.68,34.5,217.5,52.725,5740000.0,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.38,-12.0,205.25,280.0,79.0,29.37,39.0,400.0,80.0,13300000.0,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,8.15,-200.0,73.2,240.0,58.0,4.51,30.0,80.0,23.1,2330000.0,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.0814861951498535,73.79159843776256,60.57984228822874,17.397317800933184,9.287087810503357,10.836496973961037,4.654746681256314,143.3817747600208,27.05271089311876,5194785.847366569,SFV1b,False
Sanar_Station,Sortie,Filtre_Vertical,FV1,0.0098294565922621,-0.5773990488087837,0.5253536458599782,0.0661494973419512,0.1401824575170317,0.7381809927766374,0.1349201936596033,0.6592265506207853,0.5130907708509959,0.905014955987207,SFV1b,False
