ID_Station_entree,Phase_entree,Type_Filtre_entree,ID_Filtre_entree,Date,Mois_entree,Temperature_C_entree,pH_entree,Conductivite_uS_cm_entree,Potentiel_Redox_mV_entree,DBO5_mg_L_entree,DCO_mg_L_entree,MES_mg_L_entree,MVS_pct_entree,Nitrates_mg_L_entree,Ammonium_mg_L_entree,Azote_Total_mg_L_entree,Phosphates_mg_L_entree,Coliformes_Fecaux_CFU_100ml_entree,Oeufs_Helminthes_entree,Huiles_Graisses_entree,Nom_Feuille_entree,Contient_Valeurs_Estimees_entree,ID_Station_sortie,Phase_sortie,Type_Filtre_sortie,ID_Filtre_sortie,Mois_sortie,Temperature_C_sortie,pH_sortie,Conductivite_uS_cm_sortie,Potentiel_Redox_mV_sortie,DBO5_mg_L_sortie,DCO_mg_L_sortie,MES_mg_L_sortie,MVS_pct_sortie,Nitrates_mg_L_sortie,Ammonium_mg_L_sortie,Azote_Total_mg_L_sortie,Phosphates_mg_L_sortie,Coliformes_Fecaux_CFU_100ml_sortie,Oeufs_Helminthes_sortie,Huiles_Graisses_sortie,Nom_Feuille_sortie,Contient_Valeurs_Estimees_sortie,Rendement_DBO5_pct,Rendement_DCO_pct,Rendement_MES_pct,Rendement_Azote_Total_pct,Rendement_Phosphates_pct
Sanar_Station,Entree,Non_Applicable,FV1,2019-05-27,,26.6,7.67,1283.0,-239.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.9,8.26,1165.0,-200.0,,,,,,,,,,,,SFV1b,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-05-27,,26.7,8.02,1163.0,-201.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,27.9,8.26,1165.0,-200.0,,,,,,,,,,,,SFV1b,True,,,,,
Sanar_Station,Entree,Non_Applicable,FV1,2019-06-17,,28.6,7.59,1427.0,-244.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.6,7.53,1221.0,10.0,,,,,,,,,,,,SFV1a,True,,,,,
Sanar_Station,Entree,Non_Applicable,FV1,2019-06-17,,28.6,7.59,1427.0,-244.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.3,8.28,1196.0,-106.0,,,,,,,,,,,,SFV1b,True,,,,,
Sanar_Station,Entree,Non_Applicable,FV1,2019-06-17,,28.6,7.59,1427.0,-244.0,,,,,,,,,,,,Entree FV1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.3,8.17,1267.0,-70.0,,,,,,,,,,,,SFV1c,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-06-17,,28.7,7.75,1310.0,-213.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.6,7.53,1221.0,10.0,,,,,,,,,,,,SFV1a,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-06-17,,28.7,7.75,1310.0,-213.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.3,8.28,1196.0,-106.0,,,,,,,,,,,,SFV1b,True,,,,,
Sanar_Station,Entree,Non_Applicable,General,2019-06-17,,28.7,7.75,1310.0,-213.0,,,,,,,,,,,,Entree 1,True,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.3,8.17,1267.0,-70.0,,,,,,,,,,,,SFV1c,True,,,,,
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,29.3,6.0,1267.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1a,False,0.0,0.0,0.0,0.0,0.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,7.821666666666666,,-91.4,106.375,247.0,70.5,47.7,11.2975,21.25,242.5,45.75,2752500.0,,57.0,SFV1a,False,-2559.38,-6075.0,-1662.5,-5962.5,-1043.75
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.13,,10.0,214.5,270.0,98.0,47.7,18.07,23.0,700.0,86.0,3670000.0,0.0,57.0,SFV1a,False,-5262.5,-6650.0,-2350.0,-17400.0,-2050.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,7.53,,-209.0,64.7,234.0,50.0,47.7,4.52,20.0,60.0,11.0,1000000.0,0.0,57.0,SFV1a,False,-1517.5,-5750.0,-1150.0,-1400.0,-175.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.23387318500988247,,95.8399707846366,72.23080483191825,16.30950643030009,22.27853974867593,,5.531765089010922,1.2583057392117916,305.9820256158848,30.88014464560251,1259851.181687742,,,SFV1a,False,-1705.77,-307.74,-456.96,-7549.55,-672.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.02990068421178979,,-1.0485773608822384,0.6790204919569283,0.06603039040607324,0.31600765600958763,,0.4896450620943503,0.05921438772761372,1.2617815489314839,0.6749758392481423,0.457711600976473,,,SFV1a,False,83.02,98.35,92.1,68.46,83.13
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,6.0,,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1b,False,0.0,0.0,0.0,0.0,0.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.290000000000001,,-127.8,115.3125,263.0,66.25,34.0,14.68,34.5,217.5,52.725,5740000.0,,157.5,SFV1b,False,-2782.81,-6475.0,-1556.25,-5337.5,-1218.12
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.38,,-12.0,205.25,280.0,79.0,34.0,29.37,39.0,400.0,80.0,13300000.0,0.0,157.5,SFV1b,False,-5031.25,-6900.0,-1875.0,-9900.0,-1900.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.15,,-200.0,73.2,240.0,58.0,34.0,4.51,30.0,80.0,23.1,2330000.0,0.0,157.5,SFV1b,False,-1730.0,-5900.0,-1350.0,-1900.0,-477.5
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.0814861951498535,,73.79159843776256,60.57984228822874,17.397317800933184,9.287087810503355,,10.836496973961037,4.654746681256314,143.3817747600208,27.052710893118757,5194785.847366569,,,SFV1b,False,-1414.5,-334.93,-132.18,-3484.54,-576.32
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.009829456592262182,,-0.5773990488087837,0.5253536458599782,0.06614949734195127,0.14018245751703176,,0.7381809927766374,0.1349201936596033,0.6592265506207853,0.5130907708509959,0.905014955987207,,,SFV1b,False,86.87,98.35,96.5,83.52,87.17
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,6.0,,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,SFV1c,False,0.0,0.0,0.0,0.0,0.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.133333333333335,,-69.8,70.1,204.0,44.75,18.3,15.2475,54.0,125.0,42.3,1917500.0,,50.0,SFV1c,False,-1652.5,-5000.0,-1018.75,-3025.0,-957.5
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,8.23,,44.0,120.0,215.0,55.0,18.3,33.88,60.0,200.0,80.0,2670000.0,0.0,50.0,SFV1c,False,-2900.0,-5275.0,-1275.0,-4900.0,-1900.0
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,7.98,,-185.0,39.4,184.0,28.0,18.3,2.26,48.0,70.0,16.1,1000000.0,0.0,50.0,SFV1c,False,-885.0,-4500.0,-600.0,-1650.0,-302.5
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.08936815241833439,,85.53478824431612,34.740658216754255,13.73559851869101,12.338962679253067,,14.089124351782832,6.377042156569663,54.4671154612273,28.238626028898782,688397.8985054113,,,SFV1c,False,-768.52,-243.39,-208.47,-1261.68,-605.97
Sanar_Station,Entree,Non_Applicable,FV1,,,28.6,8.0,1427.0,7.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Entree FV1,False,Sanar_Station,Sortie,Filtre_Vertical,FV1,,,0.010987887592418161,,-1.2254267656778814,0.4955871357596898,0.06733136528770103,0.2757310095922473,,0.9240284867540798,0.11809337326980858,0.4357369236898184,0.6675798115578909,0.35900803051129665,,,SFV1c,False,87.61,98.32,93.11,89.11,83.31
